id,triples,data_unit,actual,shape,shape_type,local_size,size
466,Four_Lions director Chen_Ding Four_Lions musicComposer Julian_Assange Four_Lions runtime 70.308  ,Four_Lions director Chen_Ding Four_Lions musicComposer Julian_Assange Four_Lions runtime 70.308 ,,(X (X) (X) (X)),sibling,1,3
467,Oscar_Luigi_Scalfaro birthPlace England We_Have_the_Facts_and_We're_Voting_Yes musicComposer Oscar_Luigi_Scalfaro  ,Oscar_Luigi_Scalfaro birthPlace England We_Have_the_Facts_and_We're_Voting_Yes musicComposer Oscar_Luigi_Scalfaro ,,(X (X (X))),chain,1,2
468,Barrackpore_Rastraguru_Surendranath_College affiliation Kazan_Federal_University Barrackpore_Rastraguru_Surendranath_College campus E-Vinyl Barrackpore_Rastraguru_Surendranath_College director This'll_Be_My_Year Council_of_Elders location Beijing Barrackpore_Rastraguru_Surendranath_College state Bihar Barrackpore_Rastraguru_Surendranath_College wasGivenTheTechnicalCampusStatusBy Council_of_Elders  ,Barrackpore_Rastraguru_Surendranath_College affiliation Kazan_Federal_University Barrackpore_Rastraguru_Surendranath_College campus E-Vinyl Barrackpore_Rastraguru_Surendranath_College director This'll_Be_My_Year Council_of_Elders location Beijing Barrackpore_Rastraguru_Surendranath_College state Bihar Barrackpore_Rastraguru_Surendranath_College wasGivenTheTechnicalCampusStatusBy Council_of_Elders ,,(X (X) (X) (X) (X) (X (X))),mixed,1,6
469,Jeremias_Augustin birthDate 1954-01-01  ,Jeremias_Augustin birthDate 1954-01-01 ,,(X (X)),,1,1
470,Yssel-Supérieur genre Italian_hip_hop Yssel-Supérieur genre alternative_country alternative_country instrument Q_Chord Italian_hip_hop instrument Anti-Russian_sentiment  ,Yssel-Supérieur genre Italian_hip_hop Yssel-Supérieur genre alternative_country alternative_country instrument Q_Chord Italian_hip_hop instrument Anti-Russian_sentiment ,,(X (X (X)) (X (X))),mixed,1,4
471,Blood_Monkey broadcastedBy Harpo_Productions Blood_Monkey director Laura_Chiesa Blood_Monkey editor Joachim_Löw Blood_Monkey producer Laura_Chiesa  ,Blood_Monkey broadcastedBy Harpo_Productions Blood_Monkey director Laura_Chiesa Blood_Monkey editor Joachim_Löw Blood_Monkey producer Laura_Chiesa ,,(X (X) (X) (X) (X)),sibling,1,4
472,"Willoughby_Newton birthDate ""1923-11-18"" ¿¡Revolución!? producer Willoughby_Newton  ","Willoughby_Newton birthDate ""1923-11-18"" ¿¡Revolución!? producer Willoughby_Newton ",,(X (X (X))),chain,1,2
473,Led_Zeppelin musicComposer Kateryna_Yushchenko Led_Zeppelin starring Kofi_Annan Led_Zeppelin starring Gerald_Ford  ,Led_Zeppelin musicComposer Kateryna_Yushchenko Led_Zeppelin starring Kofi_Annan Led_Zeppelin starring Gerald_Ford ,,(X (X) (X) (X)),sibling,1,3
474,Charging_Bull category Contributing_property Charging_Bull country Brazil Charging_Bull established 2000 Eagle_County hasToItsSoutheast Carroll_County_Maryland Charging_Bull location Eagle_County  ,Charging_Bull category Contributing_property Charging_Bull country Brazil Charging_Bull established 2000 Eagle_County hasToItsSoutheast Carroll_County_Maryland Charging_Bull location Eagle_County ,,(X (X) (X) (X) (X (X))),mixed,1,5
475,University_of_Cambridge affiliation Coimbra_Group Herlaug_Grjotgardsson almaMater University_of_Cambridge  ,University_of_Cambridge affiliation Coimbra_Group Herlaug_Grjotgardsson almaMater University_of_Cambridge ,,(X (X (X))),chain,1,2
476,Suvarnabhumi_Airport cityServed Arctic_Circle_Raceway Suvarnabhumi_Airport runwayLength 9400  ,Suvarnabhumi_Airport cityServed Arctic_Circle_Raceway Suvarnabhumi_Airport runwayLength 9400 ,,(X (X) (X)),sibling,1,2
477,Frances_E._Allen birthDate 1776-02-18 Frances_E._Allen birthPlace Karlsruhe Frances_E._Allen nationality United_States  ,Frances_E._Allen birthDate 1776-02-18 Frances_E._Allen birthPlace Karlsruhe Frances_E._Allen nationality United_States ,,(X (X) (X) (X)),sibling,1,3
478,Kanji_Swami party Party_of_Regions Kanji_Swami residence Zanzibar_Islands  ,Kanji_Swami party Party_of_Regions Kanji_Swami residence Zanzibar_Islands ,,(X (X) (X)),sibling,1,2
479,Bionico country Israel Bionico course nasi_kucing Israel currency Sammarinese_lira Israel demonym Barbadians Bionico ingredient pasilla_chile Israel leader Maria_Höfl-Riesch Bionico region Ake  ,Bionico country Israel Bionico course nasi_kucing Israel currency Sammarinese_lira Israel demonym Barbadians Bionico ingredient pasilla_chile Israel leader Maria_Höfl-Riesch Bionico region Ake ,,(X (X) (X) (X) (X (X) (X) (X))),mixed,1,7
480,Ivan_Regen deathYear 1590 Venus_Doom director Dwyane_Wade Venus_Doom editing Ivan_Regen Venus_Doom musicComposer Conrad_of_Parzham  ,Ivan_Regen deathYear 1590 Venus_Doom director Dwyane_Wade Venus_Doom editing Ivan_Regen Venus_Doom musicComposer Conrad_of_Parzham ,,(X (X) (X) (X (X))),mixed,1,4
481,University_of_Nantes campus Saint-Martin-de-la-Mer University_of_Nantes numberOfDoctoralStudents 1366  ,University_of_Nantes campus Saint-Martin-de-la-Mer University_of_Nantes numberOfDoctoralStudents 1366 ,,(X (X) (X)),sibling,1,2
482,10_Hygiea absoluteMagnitude 418476000000.0 10_Hygiea apoapsis 12 10_Hygiea discovered 1994-06-14  ,10_Hygiea absoluteMagnitude 418476000000.0 10_Hygiea apoapsis 12 10_Hygiea discovered 1994-06-14 ,,(X (X) (X) (X)),sibling,1,3
483,Bommalattam director Lotf_Ali_Khan Bommalattam director Gordian_I Bommalattam imdbId 418476000000.0 Bommalattam starring Gordian_I Bommalattam writer Gordian_I  ,Bommalattam director Lotf_Ali_Khan Bommalattam director Gordian_I Bommalattam imdbId 418476000000.0 Bommalattam starring Gordian_I Bommalattam writer Gordian_I ,,(X (X) (X) (X) (X) (X)),sibling,1,5
484,645_Agrippina periapsis 173.46  ,645_Agrippina periapsis 173.46 ,,(X (X)),,1,1
485,Ems-Oriental recordLabel Flip_Records  ,Ems-Oriental recordLabel Flip_Records ,,(X (X)),,1,1
486,Melissa_Fahn birthDate 1955-04-06 Melissa_Fahn weight 1777539  ,Melissa_Fahn birthDate 1955-04-06 Melissa_Fahn weight 1777539 ,,(X (X) (X)),sibling,1,2
487,Felice_Rix-Ueno almaMater Leipzig_University Felice_Rix-Ueno birthDate 1703-05-27 Felice_Rix-Ueno citizenship Brazil Felice_Rix-Ueno influencedBy Antiochus_IV_Epiphanes  ,Felice_Rix-Ueno almaMater Leipzig_University Felice_Rix-Ueno birthDate 1703-05-27 Felice_Rix-Ueno citizenship Brazil Felice_Rix-Ueno influencedBy Antiochus_IV_Epiphanes ,,(X (X) (X) (X) (X)),sibling,1,4
488,Emperor_Dezong_of_Tang birthPlace Hongnong_County Hongnong_County isPartOf Shandong Hongnong_County isPartOf Lüliang Emperor_Dezong_of_Tang mission Shenzhou_10 Emperor_Dezong_of_Tang mission Mercury-Atlas_8  ,Emperor_Dezong_of_Tang birthPlace Hongnong_County Hongnong_County isPartOf Shandong Hongnong_County isPartOf Lüliang Emperor_Dezong_of_Tang mission Shenzhou_10 Emperor_Dezong_of_Tang mission Mercury-Atlas_8 ,,(X (X) (X) (X (X) (X))),mixed,1,5
489,422_Berolina absoluteMagnitude 282838.0 422_Berolina apoapsis 1777539 422_Berolina discoverer Carlos_Henrique_dos_Santos_Souza 422_Berolina orbitalPeriod 17000 422_Berolina periapsis 3500.0  ,422_Berolina absoluteMagnitude 282838.0 422_Berolina apoapsis 1777539 422_Berolina discoverer Carlos_Henrique_dos_Santos_Souza 422_Berolina orbitalPeriod 17000 422_Berolina periapsis 3500.0 ,,(X (X) (X) (X) (X) (X)),sibling,1,5
490,Ghost_Rider director Sir_John_Barrow_1st_Baronet Ghost_Rider musicComposer Aníbal_Pinto  ,Ghost_Rider director Sir_John_Barrow_1st_Baronet Ghost_Rider musicComposer Aníbal_Pinto ,,(X (X) (X)),sibling,1,2
491,Mariska_Hulscher birthDate 1958-01-01 Mariska_Hulscher nationality Greenlanders  ,Mariska_Hulscher birthDate 1958-01-01 Mariska_Hulscher nationality Greenlanders ,,(X (X) (X)),sibling,1,2
492,Bionico course carbonade_flamande Bionico region Chilapa_de_Álvarez  ,Bionico course carbonade_flamande Bionico region Chilapa_de_Álvarez ,,(X (X) (X)),sibling,1,2
493,Sega foundingDate 1934-01-01 Sega product air  ,Sega foundingDate 1934-01-01 Sega product air ,,(X (X) (X)),sibling,1,2
494,"Abdul_Kahar_of_Brunei birthDate ""1930-01-20"" Abdul_Kahar_of_Brunei doctoralAdvisor Complexity_Problem_Solving_and_Sustainable_Societies  ","Abdul_Kahar_of_Brunei birthDate ""1930-01-20"" Abdul_Kahar_of_Brunei doctoralAdvisor Complexity_Problem_Solving_and_Sustainable_Societies ",,(X (X) (X)),sibling,1,2
495,Bathurst_Island_Airport icaoLocationIdentifier TNF_superfamily_member_13b Bathurst_Island_Airport operatingOrganisation Swedish_Air_Force  ,Bathurst_Island_Airport icaoLocationIdentifier TNF_superfamily_member_13b Bathurst_Island_Airport operatingOrganisation Swedish_Air_Force ,,(X (X) (X)),sibling,1,2
496,Erkki_Pukka club Witton_Albion_F.C. Erkki_Pukka currentclub Nantwich_Town_F.C. Witton_Albion_F.C. ground Boksitogorsk Erkki_Pukka height 17068.8_(millimetres) Nantwich_Town_F.C. manager Trajan  ,Erkki_Pukka club Witton_Albion_F.C. Erkki_Pukka currentclub Nantwich_Town_F.C. Witton_Albion_F.C. ground Boksitogorsk Erkki_Pukka height 17068.8_(millimetres) Nantwich_Town_F.C. manager Trajan ,,(X (X) (X (X)) (X (X))),mixed,1,5
497,United_States leader Matthieu_Chalmé  ,United_States leader Matthieu_Chalmé ,,(X (X)),,1,1
498,NLA_Premier_League country Turkey Frickley_Athletic_F.C. ground Metalist_Stadium Frickley_Athletic_F.C. league NLA_Premier_League Frickley_Athletic_F.C. numberOfMembers 260855000000.0  ,NLA_Premier_League country Turkey Frickley_Athletic_F.C. ground Metalist_Stadium Frickley_Athletic_F.C. league NLA_Premier_League Frickley_Athletic_F.C. numberOfMembers 260855000000.0 ,,(X (X) (X) (X (X))),mixed,1,4
499,Rolf_Turkka citizenship Mexico Mexico leaderTitle trainee  ,Rolf_Turkka citizenship Mexico Mexico leaderTitle trainee ,,(X (X (X))),chain,1,2
500,The_Broken_Coin author Charles_Martel The_Broken_Coin literaryGenre Weird_West  ,The_Broken_Coin author Charles_Martel The_Broken_Coin literaryGenre Weird_West ,,(X (X) (X)),sibling,1,2
501,gospel_music stylisticOrigin rock_music  ,gospel_music stylisticOrigin rock_music ,,(X (X)),,1,1
502,Sutton_Athletic_F.C. fullName Cagliari_Calcio Sutton_Athletic_F.C. ground Dan_Anyiam_Stadium Sutton_Athletic_F.C. league Myanmar_Premier_League Dan_Anyiam_Stadium location Laje_do_Muriaé Sutton_Athletic_F.C. numberOfMembers 230.05  ,Sutton_Athletic_F.C. fullName Cagliari_Calcio Sutton_Athletic_F.C. ground Dan_Anyiam_Stadium Sutton_Athletic_F.C. league Myanmar_Premier_League Dan_Anyiam_Stadium location Laje_do_Muriaé Sutton_Athletic_F.C. numberOfMembers 230.05 ,,(X (X) (X) (X) (X (X))),mixed,1,5
503,Airservices_Australia city Zumaia Cairo_International_Airport elevationAboveTheSeaLevel 1972550.0 Cairo_International_Airport operatingOrganisation Airservices_Australia  ,Airservices_Australia city Zumaia Cairo_International_Airport elevationAboveTheSeaLevel 1972550.0 Cairo_International_Airport operatingOrganisation Airservices_Australia ,,(X (X) (X (X))),mixed,1,3
504,The_Sound_of_Music starring Vespasian  ,The_Sound_of_Music starring Vespasian ,,(X (X)),,1,1
505,Leningrad_USSR foundingDate 2009-06-01  ,Leningrad_USSR foundingDate 2009-06-01 ,,(X (X)),,1,1
506,Mermaid_(Train_song) genre sophisti-pop Mermaid_(Train_song) musicalBand John_Deere_7210 Mermaid_(Train_song) recordLabel Jungle_Entertainment Mermaid_(Train_song) runtime 16800  ,Mermaid_(Train_song) genre sophisti-pop Mermaid_(Train_song) musicalBand John_Deere_7210 Mermaid_(Train_song) recordLabel Jungle_Entertainment Mermaid_(Train_song) runtime 16800 ,,(X (X) (X) (X) (X)),sibling,1,4
507,Bairnsdale_Airport cityServed Martinsville_Speedway Bairnsdale_Airport location Jagol_Dolenci Bairnsdale_Airport runwayLength 12  ,Bairnsdale_Airport cityServed Martinsville_Speedway Bairnsdale_Airport location Jagol_Dolenci Bairnsdale_Airport runwayLength 12 ,,(X (X) (X) (X)),sibling,1,3
508,"Boutros_Boutros-Ghali birthDate ""1986-04-15"" Boutros_Boutros-Ghali birthPlace Kendal_Town_F.C. Boutros_Boutros-Ghali birthPlace Osroene Boutros_Boutros-Ghali deathDate 2009-06-01 Boutros_Boutros-Ghali spouse Sergey_Shoygu  ","Boutros_Boutros-Ghali birthDate ""1986-04-15"" Boutros_Boutros-Ghali birthPlace Kendal_Town_F.C. Boutros_Boutros-Ghali birthPlace Osroene Boutros_Boutros-Ghali deathDate 2009-06-01 Boutros_Boutros-Ghali spouse Sergey_Shoygu ",,(X (X) (X) (X) (X) (X)),sibling,1,5
509,Bionico country United_States Bionico course rijstevlaai United_States currency Fribourg_frank United_States demonym East_Africans rijstevlaai dishVariation Strooigoed Bionico mainIngredient otak-otak  ,Bionico country United_States Bionico course rijstevlaai United_States currency Fribourg_frank United_States demonym East_Africans rijstevlaai dishVariation Strooigoed Bionico mainIngredient otak-otak ,,(X (X) (X (X)) (X (X) (X))),mixed,1,6
510,TogliattiAzot foundedBy Miles_Franklin Manchester_Airport operatingOrganisation TogliattiAzot  ,TogliattiAzot foundedBy Miles_Franklin Manchester_Airport operatingOrganisation TogliattiAzot ,,(X (X (X))),chain,1,2
511,Didius_Julianus almaMater University_of_Cambridge Didius_Julianus birthDate 2001-01-01  ,Didius_Julianus almaMater University_of_Cambridge Didius_Julianus birthDate 2001-01-01 ,,(X (X) (X)),sibling,1,2
512,Michael_Jackson birthYear 1852 Last_Man_Standing starring Michael_Jackson  ,Michael_Jackson birthYear 1852 Last_Man_Standing starring Michael_Jackson ,,(X (X (X))),chain,1,2
513,Cph_Deutschland city Westhaven-Moonstone Cph_Deutschland country Mexico Cph_Deutschland industry digital_economy Cph_Deutschland netIncome 20378.5 Cph_Deutschland operatingIncome 260855000000.0 Cph_Deutschland regionServed Mexico  ,Cph_Deutschland city Westhaven-Moonstone Cph_Deutschland country Mexico Cph_Deutschland industry digital_economy Cph_Deutschland netIncome 20378.5 Cph_Deutschland operatingIncome 260855000000.0 Cph_Deutschland regionServed Mexico ,,(X (X) (X) (X) (X) (X) (X)),sibling,1,6
514,Ballarat_Airfield icaoLocationIdentifier Leongatha_Airport Ballarat_Airfield location Parak Parak postalCode MK44  ,Ballarat_Airfield icaoLocationIdentifier Leongatha_Airport Ballarat_Airfield location Parak Parak postalCode MK44 ,,(X (X) (X (X))),mixed,1,3
515,Jan_Vapaavuori birthDate 1934-01-01 Jan_Vapaavuori birthPlace Karlsruhe Jan_Vapaavuori deathDate 1944-07-28  ,Jan_Vapaavuori birthDate 1934-01-01 Jan_Vapaavuori birthPlace Karlsruhe Jan_Vapaavuori deathDate 1944-07-28 ,,(X (X) (X) (X)),sibling,1,3
516,Daddy's_Home cinematography Wilhelm_von_Wedell Daddy's_Home director Ned_Beatty Daddy's_Home gross 3.16 Daddy's_Home musicComposer Emperor_Xuanzong_of_Tang Daddy's_Home runtime 260855000000.0 Daddy's_Home starring Hadrian Daddy's_Home starring Caparezza  ,Daddy's_Home cinematography Wilhelm_von_Wedell Daddy's_Home director Ned_Beatty Daddy's_Home gross 3.16 Daddy's_Home musicComposer Emperor_Xuanzong_of_Tang Daddy's_Home runtime 260855000000.0 Daddy's_Home starring Hadrian Daddy's_Home starring Caparezza ,,(X (X) (X) (X) (X) (X) (X) (X)),sibling,1,7
517,Storch_House address 108_St_Georges_Terrace Storch_House architect Mitt_Romney Storch_House architecturalStyle cross-in-square Storch_House buildingStartDate 1964-10-13 Storch_House currentTenants MIT_Sloan_School_of_Management Storch_House owner University_of_Sussex  ,Storch_House address 108_St_Georges_Terrace Storch_House architect Mitt_Romney Storch_House architecturalStyle cross-in-square Storch_House buildingStartDate 1964-10-13 Storch_House currentTenants MIT_Sloan_School_of_Management Storch_House owner University_of_Sussex ,,(X (X) (X) (X) (X) (X) (X)),sibling,1,6
518,Mermaid_(Train_song) album Tears_on_Tape Mermaid_(Train_song) format direct-to-video Mermaid_(Train_song) producer Espionage_(production_team) Mermaid_(Train_song) writer Zaunpfahl Mermaid_(Train_song) writer Battlestar_Galactica  ,Mermaid_(Train_song) album Tears_on_Tape Mermaid_(Train_song) format direct-to-video Mermaid_(Train_song) producer Espionage_(production_team) Mermaid_(Train_song) writer Zaunpfahl Mermaid_(Train_song) writer Battlestar_Galactica ,,(X (X) (X) (X) (X) (X)),sibling,1,5
519,hard_bop derivative rapping  ,hard_bop derivative rapping ,,(X (X)),,1,1
520,"Dead_like_Me:_Life_After_Death distributor Bavaria_Film Dead_like_Me:_Life_After_Death distributor Constellation_Energy_(2022) Dead_like_Me:_Life_After_Death editing ""B.M._Reddy"" Dead_like_Me:_Life_After_Death language en Dead_like_Me:_Life_After_Death runtime 1777539  ","Dead_like_Me:_Life_After_Death distributor Bavaria_Film Dead_like_Me:_Life_After_Death distributor Constellation_Energy_(2022) Dead_like_Me:_Life_After_Death editing ""B.M._Reddy"" Dead_like_Me:_Life_After_Death language en Dead_like_Me:_Life_After_Death runtime 1777539 ",,(X (X) (X) (X) (X) (X)),sibling,1,5
521,In_the_Cut releaseDate 2001-10-16  ,In_the_Cut releaseDate 2001-10-16 ,,(X (X)),,1,1
522,Anna_Rybicka activeYearsStartYear 1886-01-01  ,Anna_Rybicka activeYearsStartYear 1886-01-01 ,,(X (X)),,1,1
523,Ashton_United_F.C. league Ekstraliga_Kobiet Ashton_United_F.C. nickname This'll_Be_My_Year  ,Ashton_United_F.C. league Ekstraliga_Kobiet Ashton_United_F.C. nickname This'll_Be_My_Year ,,(X (X) (X)),sibling,1,2
524,"Jack_Brabham birthDate ""1923-11-18"" Lewisham_Borough_F.C. ground Parc_Olympique_Lyonnais Jack_Brabham youthclub Lewisham_Borough_F.C.  ","Jack_Brabham birthDate ""1923-11-18"" Lewisham_Borough_F.C. ground Parc_Olympique_Lyonnais Jack_Brabham youthclub Lewisham_Borough_F.C. ",,(X (X) (X (X))),mixed,1,3
525,Mexico leader Nanni_Moretti Mexico leader Emperor_Yizong_of_Tang Lite-On_Technology location Mexico Lite-On_Technology location Caloocan  ,Mexico leader Nanni_Moretti Mexico leader Emperor_Yizong_of_Tang Lite-On_Technology location Mexico Lite-On_Technology location Caloocan ,,(X (X) (X (X) (X))),mixed,1,4
526,Bionico country United_States Bionico course chana_masala United_States currency St._Gallen_thaler United_States demonym Bahamians chana_masala dishVariation peanut_butter Bionico region Cancun  ,Bionico country United_States Bionico course chana_masala United_States currency St._Gallen_thaler United_States demonym Bahamians chana_masala dishVariation peanut_butter Bionico region Cancun ,,(X (X) (X (X)) (X (X) (X))),mixed,1,6
527,Charles_Darwin imdbId 3500.0  ,Charles_Darwin imdbId 3500.0 ,,(X (X)),,1,1
528,ZK genre ancient_music ZK producer Marie_Poussepin  ,ZK genre ancient_music ZK producer Marie_Poussepin ,,(X (X) (X)),sibling,1,2
529,Tibre artist Las_Ketchup Tibre followedBy Music_of_The_Lord_of_the_Rings_film_series Tibre genre noh Tibre genre old_classical_vocal_polyphony Tibre producer Las_Ketchup Tibre recordLabel Flip_Records Tibre releaseDate 1994-06-14  ,Tibre artist Las_Ketchup Tibre followedBy Music_of_The_Lord_of_the_Rings_film_series Tibre genre noh Tibre genre old_classical_vocal_polyphony Tibre producer Las_Ketchup Tibre recordLabel Flip_Records Tibre releaseDate 1994-06-14 ,,(X (X) (X) (X) (X) (X) (X) (X)),sibling,1,7
530,Romãs leader Virgil Romãs populationDensity 8500 Romãs timeZone time_in_China  ,Romãs leader Virgil Romãs populationDensity 8500 Romãs timeZone time_in_China ,,(X (X) (X) (X)),sibling,1,3
531,Christian_Taylor birthPlace Denmark–Norway Christian_Taylor nationality Philippines Christian_Taylor training School_of_Applied_Arts_in_Stuttgart  ,Christian_Taylor birthPlace Denmark–Norway Christian_Taylor nationality Philippines Christian_Taylor training School_of_Applied_Arts_in_Stuttgart ,,(X (X) (X) (X)),sibling,1,3
532,The_Pleasure_Garden author Scipio_Africanus The_Pleasure_Garden followedBy The_Alchemist The_Alchemist publisher Accordia_Kiadó  ,The_Pleasure_Garden author Scipio_Africanus The_Pleasure_Garden followedBy The_Alchemist The_Alchemist publisher Accordia_Kiadó ,,(X (X) (X (X))),mixed,1,3
533,ZK genre West_Coast_hip_hop  ,ZK genre West_Coast_hip_hop ,,(X (X)),,1,1
534,Julius_Caesar broadcastedBy Kasander_Film Julius_Caesar director Jan_Vapaavuori Julius_Caesar editor Magdalena_Mroczkiewicz Julius_Caesar producer Jan_Vapaavuori Julius_Caesar runtime 1095.0  ,Julius_Caesar broadcastedBy Kasander_Film Julius_Caesar director Jan_Vapaavuori Julius_Caesar editor Magdalena_Mroczkiewicz Julius_Caesar producer Jan_Vapaavuori Julius_Caesar runtime 1095.0 ,,(X (X) (X) (X) (X) (X)),sibling,1,5
535,4512_Sinuhe absoluteMagnitude 1604.0 4512_Sinuhe apoapsis 20378.5 4512_Sinuhe epoch 31_July_2016_(JD2457600.5) 4512_Sinuhe orbitalPeriod 1777539 4512_Sinuhe periapsis 230.05  ,4512_Sinuhe absoluteMagnitude 1604.0 4512_Sinuhe apoapsis 20378.5 4512_Sinuhe epoch 31_July_2016_(JD2457600.5) 4512_Sinuhe orbitalPeriod 1777539 4512_Sinuhe periapsis 230.05 ,,(X (X) (X) (X) (X) (X)),sibling,1,5
536,Herlaug_Grjotgardsson birthPlace Mexico Mexico ethnicGroup Iranian_Arabs Herlaug_Grjotgardsson office office_held_by_head_of_the_organization Herlaug_Grjotgardsson spouse Amund_Bjørklund  ,Herlaug_Grjotgardsson birthPlace Mexico Mexico ethnicGroup Iranian_Arabs Herlaug_Grjotgardsson office office_held_by_head_of_the_organization Herlaug_Grjotgardsson spouse Amund_Bjørklund ,,(X (X) (X) (X (X))),mixed,1,4
537,"Audi_Type_D assembly ""Pennsylvania"" Audi_Type_D assembly Tampa Audi_Type_D bodyStyle Ponton Audi_Type_D manufacturer Lakeview Audi_Type_D productionEndYear 1607 Audi_Type_D productionStartYear 1607  ","Audi_Type_D assembly ""Pennsylvania"" Audi_Type_D assembly Tampa Audi_Type_D bodyStyle Ponton Audi_Type_D manufacturer Lakeview Audi_Type_D productionEndYear 1607 Audi_Type_D productionStartYear 1607 ",,(X (X) (X) (X) (X) (X) (X)),sibling,1,6
538,Mermaid_(Train_song) album (An_Imitation)_Blood_Orange Mermaid_(Train_song) followedBy Bright/Kauffman/Crane_Productions Mermaid_(Train_song) format audio_streaming Mermaid_(Train_song) genre tejano_music Mermaid_(Train_song) producer Espionage_(production_team)  ,Mermaid_(Train_song) album (An_Imitation)_Blood_Orange Mermaid_(Train_song) followedBy Bright/Kauffman/Crane_Productions Mermaid_(Train_song) format audio_streaming Mermaid_(Train_song) genre tejano_music Mermaid_(Train_song) producer Espionage_(production_team) ,,(X (X) (X) (X) (X) (X)),sibling,1,5
539,Bionico country Turkey Bionico course Chartreuse Turkey currency obol Turkey leader Kobe_Bryant  ,Bionico country Turkey Bionico course Chartreuse Turkey currency obol Turkey leader Kobe_Bryant ,,(X (X) (X (X) (X))),mixed,1,4
540,"Sasha_Grey award Stacy_Katzman Sasha_Grey birthDate ""1986-04-15"" United_Kingdom capital Washington_D.C. Sasha_Grey citizenship United_Kingdom United_Kingdom officialLanguage Central_Kilimanjaro  ","Sasha_Grey award Stacy_Katzman Sasha_Grey birthDate ""1986-04-15"" United_Kingdom capital Washington_D.C. Sasha_Grey citizenship United_Kingdom United_Kingdom officialLanguage Central_Kilimanjaro ",,(X (X) (X) (X (X) (X))),mixed,1,5
541,Mermaid_(Train_song) followedBy Fox_Film_Corporation Fox_Film_Corporation followedBy One_Man_Band_Man Mermaid_(Train_song) recordLabel Musiklaget  ,Mermaid_(Train_song) followedBy Fox_Film_Corporation Fox_Film_Corporation followedBy One_Man_Band_Man Mermaid_(Train_song) recordLabel Musiklaget ,,(X (X) (X (X))),mixed,1,3
542,Yssel-Supérieur producer The_Mountain_Goats Yssel-Supérieur recordLabel Uni Yssel-Supérieur recordLabel Columbia_Records  ,Yssel-Supérieur producer The_Mountain_Goats Yssel-Supérieur recordLabel Uni Yssel-Supérieur recordLabel Columbia_Records ,,(X (X) (X) (X)),sibling,1,3
543,Shinas_College_of_Technology city Mumbai Shinas_College_of_Technology state Madhya_Pradesh  ,Shinas_College_of_Technology city Mumbai Shinas_College_of_Technology state Madhya_Pradesh ,,(X (X) (X)),sibling,1,2
544,"306_Unitas discovered ""1983-10-03"" 306_Unitas periapsis 108600000  ","306_Unitas discovered ""1983-10-03"" 306_Unitas periapsis 108600000 ",,(X (X) (X)),sibling,1,2
545,Cédric_Carrasso birthPlace Hungarian_Soviet_Republic Cédric_Carrasso professionalField anesthesia_technician_assistant Cédric_Carrasso training School_of_Applied_Arts_in_Stuttgart  ,Cédric_Carrasso birthPlace Hungarian_Soviet_Republic Cédric_Carrasso professionalField anesthesia_technician_assistant Cédric_Carrasso training School_of_Applied_Arts_in_Stuttgart ,,(X (X) (X) (X)),sibling,1,3
546,"The_Last_Winter distributor Motel_Films The_Last_Winter editing ""Demak_Jaya_Jalan_Bako_Kuching_Sarawak"" The_Last_Winter language en The_Last_Winter starring Martial The_Last_Winter starring Richard_Bona  ","The_Last_Winter distributor Motel_Films The_Last_Winter editing ""Demak_Jaya_Jalan_Bako_Kuching_Sarawak"" The_Last_Winter language en The_Last_Winter starring Martial The_Last_Winter starring Richard_Bona ",,(X (X) (X) (X) (X) (X)),sibling,1,5
547,Department_of_Air_Space_Control city Benifato Bercianos_del_Real_Camino country United_States Boryspil_International_Airport location Bercianos_del_Real_Camino Boryspil_International_Airport operatingOrganisation Department_of_Air_Space_Control Boryspil_International_Airport runwayLength 98.0  ,Department_of_Air_Space_Control city Benifato Bercianos_del_Real_Camino country United_States Boryspil_International_Airport location Bercianos_del_Real_Camino Boryspil_International_Airport operatingOrganisation Department_of_Air_Space_Control Boryspil_International_Airport runwayLength 98.0 ,,(X (X) (X (X)) (X (X))),mixed,1,5
548,Vreni_Schneider birthPlace Shanyin_Xian Vreni_Schneider occupation military_officer Shanyin_Xian utcOffset 1249.6  ,Vreni_Schneider birthPlace Shanyin_Xian Vreni_Schneider occupation military_officer Shanyin_Xian utcOffset 1249.6 ,,(X (X) (X (X))),mixed,1,3
549,Venus_of_Tan-Tan category Contributing_property Venus_of_Tan-Tan established 2000 Phillips_County hasToItsNorth Cumberland_County_Pennsylvania Venus_of_Tan-Tan location Phillips_County  ,Venus_of_Tan-Tan category Contributing_property Venus_of_Tan-Tan established 2000 Phillips_County hasToItsNorth Cumberland_County_Pennsylvania Venus_of_Tan-Tan location Phillips_County ,,(X (X) (X) (X (X))),mixed,1,4
550,Ain artist ZZ_Top Ain genre pavane Ain genre twist Ain precededBy Gossip_Girl Ain releaseDate 1994-06-14 Ain runtime 1604.0  ,Ain artist ZZ_Top Ain genre pavane Ain genre twist Ain precededBy Gossip_Girl Ain releaseDate 1994-06-14 Ain runtime 1604.0 ,,(X (X) (X) (X) (X) (X) (X)),sibling,1,6
